date,close_price
2017-01-03,14.2
2017-01-04,14.48
2017-01-05,14.43
2017-01-06,14.76
2017-01-09,15.18
2017-01-10,15.09
2017-01-11,15.56
2017-01-12,15.46
2017-01-13,15.23
2017-01-16,14.81
2017-01-17,15.74
2017-01-18,15.41
2017-01-19,15.41
2017-01-20,15.6
2017-01-23,15.79
2017-01-24,15.93
2017-01-25,15.84
2017-02-02,16.12
2017-02-03,16.12
2017-02-06,16.12
2017-02-07,16.02
2017-02-08,15.93
2017-02-09,15.79
2017-02-10,16.02
2017-02-13,15.79
2017-02-14,15.93
2017-02-15,16.26
2017-02-16,15.93
2017-02-17,15.84
2017-02-20,15.56
2017-02-21,15.65
2017-02-22,15.56
2017-02-23,15.6
2017-02-24,15.6
2017-02-27,15.65
2017-02-28,15.41
2017-03-01,15.27
2017-03-02,15.04
2017-03-03,15.37
2017-03-06,15.56
2017-03-07,15.46
2017-03-08,15.56
2017-03-09,15.74
2017-03-10,15.51
2017-03-13,15.46
2017-03-14,15.37
2017-03-15,15.41
2017-03-16,15.32
2017-03-17,15.65
2017-03-20,15.7
2017-03-21,16.3
2017-03-22,16.3
2017-03-23,16.35
2017-03-24,16.77
2017-03-27,16.63
2017-03-28,16.3
2017-03-29,16.3
2017-03-30,16.63
2017-03-31,16.45
2017-04-03,16.07
2017-04-04,16.12
2017-04-05,16.07
2017-04-07,16.02
2017-04-10,15.93
2017-04-11,15.93
2017-04-12,15.93
2017-04-13,15.84
2017-04-14,15.98
2017-04-17,15.37
2017-04-18,15.46
2017-04-19,15.27
2017-04-20,15.56
2017-04-21,15.51
2017-04-24,15.32
2017-04-25,15.32
2017-04-26,15.46
2017-04-27,15.56
2017-04-28,15.56
2017-05-03,15.56
2017-05-04,15.74
2017-05-05,15.51
2017-05-08,15.46
2017-05-09,15.56
2017-05-10,16.02
2017-05-11,15.93
2017-05-12,15.88
2017-05-15,15.84
2017-05-16,15.84
2017-05-17,15.65
2017-05-18,15.74
2017-05-19,16.12
2017-05-22,17.24
2017-05-23,17.38
2017-05-24,18.04
2017-05-25,17.9
2017-05-26,18.27
2017-05-29,17.8
2017-05-30,17.19
2017-05-31,17.29
2017-06-01,17.15
2017-06-02,17.1
2017-06-05,17.52
2017-06-06,18.18
2017-06-07,18.18
2017-06-08,17.9
2017-06-09,17.66
2017-06-12,17.76
2017-06-13,18.27
2017-06-14,18.74
2017-06-15,18.55
2017-06-16,18.51
2017-06-19,18.74
2017-06-20,19.26
2017-06-21,19.02
2017-06-22,18.6
2017-06-23,18.65
2017-06-26,18.93
